Satellite_ID,Launch_Date,Expected_Lifetime_years,Age_current_years,Launch_Mass_kg,Purpose,Contractor_Tier,Operator_Tier,AgeFactor,CQI,HI,MRI,SVI,Operator_Heritage_Index,Infant_Mortality_Flag,TechnicalReliabilityIndex,w_age,w_tech,w_ops,w_err,w_CQI,w_HI,w_MRI,w_SVI,Operational_Risk_Score
SAT-0017,2009-09-27,4.69,16.04,272.7,Technology Demo,3,1,1.0,0.5,0.8,0.7,0.4,0.1,0.1,0.645,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.8
SAT-0018,2021-10-23,12.27,3.97,493.5,Technology Demo,1,3,0.324,0.5,0.2,0.7,0.4,0.7,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,37.9
SAT-0019,2011-03-16,11.48,14.58,408.3,Navigation,3,3,1.0,0.5,0.8,0.7,0.4,0.7,0.1,0.645,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,67.8
SAT-0020,2023-06-20,7.3,2.32,648.1,Navigation,3,1,0.317,0.3,0.8,0.3,0.4,0.1,0.1,0.515,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,33.1
SAT-0021,2024-07-06,6.97,1.27,1746.6,Communications,1,3,0.182,0.3,0.2,0.3,0.8,0.7,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,30.9
SAT-0022,2013-01-12,11.76,12.75,164.6,Earth Observation,2,1,1.0,0.5,0.5,0.7,0.6,0.1,0.1,0.555,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,55.2
SAT-0023,2011-07-09,4.44,14.26,1444.4,Earth Observation,1,2,1.0,0.3,0.2,0.3,0.6,0.4,0.1,0.305,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,49.7
SAT-0024,2015-11-28,12.25,9.88,1622.6,Navigation,2,3,0.806,0.3,0.5,0.3,0.4,0.7,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,52.0
SAT-0025,2023-08-17,3.31,2.16,1355.1,Navigation,1,2,0.653,0.3,0.2,0.3,0.4,0.4,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,38.1
SAT-0026,2015-08-12,6.77,10.17,319.3,Navigation,1,3,1.0,0.5,0.2,0.7,0.4,0.7,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.2
SAT-0027,2010-09-03,7.92,15.11,3123.2,Navigation,3,3,1.0,0.3,0.8,0.6,0.4,0.7,0.1,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,65.0
SAT-0028,2022-07-24,6.48,3.22,41.3,Communications,3,3,0.498,0.7,0.8,0.7,0.8,0.7,0.1,0.755,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,57.1
SAT-0029,2008-05-09,10.6,17.43,4520.3,Earth Observation,3,3,1.0,0.3,0.8,0.6,0.6,0.7,0.1,0.605,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,66.2
SAT-0030,2014-12-31,13.71,10.79,873.1,Earth Observation,1,2,0.787,0.3,0.2,0.3,0.6,0.4,0.1,0.305,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,43.3
SAT-0031,2023-08-02,6.82,2.2,2292.2,Technology Demo,2,3,0.323,0.3,0.5,0.3,0.4,0.7,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,37.5
SAT-0032,2008-07-27,12.82,17.21,215.3,Science,1,3,1.0,0.5,0.2,0.7,0.4,0.7,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.2
SAT-0033,2021-05-05,8.01,4.44,256.8,Navigation,1,1,0.555,0.5,0.2,0.7,0.4,0.1,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,35.8
SAT-0034,2019-04-28,14.31,6.46,170.8,Communications,2,2,0.452,0.5,0.5,0.7,0.8,0.4,0.1,0.585,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,44.4
SAT-0035,2006-05-08,7.36,19.44,1906.0,Navigation,1,1,1.0,0.3,0.2,0.3,0.4,0.1,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,44.0
SAT-0036,2019-10-08,8.97,6.02,3129.5,Science,3,2,0.671,0.3,0.8,0.6,0.4,0.4,0.1,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,50.6
SAT-0037,2015-09-24,10.31,10.05,21.3,Earth Observation,3,2,0.975,0.7,0.8,0.7,0.6,0.4,0.1,0.725,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,65.7
SAT-0038,2020-12-29,13.9,4.79,141.5,Technology Demo,3,2,0.345,0.5,0.8,0.7,0.4,0.4,0.1,0.645,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,43.6
SAT-0039,2020-12-10,14.83,4.84,246.3,Earth Observation,2,1,0.326,0.5,0.5,0.7,0.6,0.1,0.1,0.555,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,35.0
SAT-0040,2011-03-22,5.85,14.56,2023.2,Earth Observation,3,3,1.0,0.3,0.8,0.3,0.6,0.7,0.1,0.545,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,63.8
SAT-0041,2015-01-26,10.6,10.72,317.3,Science,2,3,1.0,0.5,0.5,0.7,0.4,0.7,0.1,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,63.0
SAT-0042,2022-01-20,6.85,3.73,418.1,Science,2,3,0.545,0.5,0.5,0.7,0.4,0.7,0.1,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,49.3
SAT-0043,2025-06-14,11.13,0.33,296.7,Technology Demo,2,1,0.03,0.5,0.5,0.7,0.4,0.1,0.8,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,35.4
SAT-0044,2022-04-19,10.74,3.49,953.0,Earth Observation,3,2,0.325,0.3,0.8,0.3,0.6,0.4,0.1,0.545,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,39.0
SAT-0045,2023-01-13,14.24,2.75,1273.5,Communications,1,1,0.193,0.3,0.2,0.3,0.8,0.1,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,22.2
SAT-0046,2008-03-28,14.1,17.55,59.4,Earth Observation,3,1,1.0,0.7,0.8,0.7,0.6,0.1,0.1,0.725,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,62.0
SAT-0047,2014-09-06,12.81,11.1,331.0,Technology Demo,3,1,0.867,0.5,0.8,0.7,0.4,0.1,0.1,0.645,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,54.8
SAT-0048,2007-11-03,4.12,17.94,983.7,Technology Demo,2,3,1.0,0.3,0.5,0.3,0.4,0.7,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,57.8
SAT-0049,2018-10-20,7.07,6.98,4082.8,Technology Demo,3,2,0.988,0.3,0.8,0.6,0.4,0.4,0.1,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,60.1
SAT-0050,2010-03-10,13.65,15.6,2294.2,Science,1,3,1.0,0.3,0.2,0.3,0.4,0.7,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.0
SAT-0051,2007-10-25,4.94,17.97,668.3,Communications,3,3,1.0,0.3,0.8,0.3,0.8,0.7,0.1,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,65.0
SAT-0052,2012-07-07,4.22,13.27,518.4,Navigation,3,2,1.0,0.3,0.8,0.3,0.4,0.4,0.1,0.515,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.1
SAT-0053,2011-12-12,9.58,13.84,82.9,Communications,2,2,1.0,0.7,0.5,0.7,0.8,0.4,0.1,0.635,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,62.9
SAT-0054,2021-01-14,11.55,4.74,948.5,Earth Observation,2,1,0.411,0.3,0.5,0.3,0.6,0.1,0.1,0.425,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,32.3
SAT-0055,2008-10-19,10.8,16.98,374.0,Navigation,3,1,1.0,0.5,0.8,0.7,0.4,0.1,0.1,0.645,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.8
SAT-0056,2018-06-06,4.12,7.35,1636.6,Science,1,3,1.0,0.3,0.2,0.3,0.4,0.7,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.0
SAT-0057,2017-12-03,14.68,7.86,124.3,Navigation,3,3,0.536,0.5,0.8,0.7,0.4,0.7,0.1,0.645,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.9
SAT-0058,2015-09-25,12.54,10.05,1762.3,Science,1,1,0.802,0.3,0.2,0.3,0.4,0.1,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,38.1
SAT-0059,2011-05-03,5.34,14.45,1485.0,Navigation,1,3,1.0,0.3,0.2,0.3,0.4,0.7,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.0
SAT-0060,2022-03-30,10.75,3.54,15.1,Science,1,3,0.33,0.7,0.2,0.7,0.4,0.7,0.1,0.455,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,40.1
SAT-0061,2018-05-19,13.98,7.4,4884.8,Navigation,2,1,0.53,0.3,0.5,0.6,0.4,0.1,0.1,0.455,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,37.1
SAT-0062,2006-06-14,8.14,19.33,464.4,Communications,2,2,1.0,0.5,0.5,0.7,0.8,0.4,0.1,0.585,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,60.9
SAT-0063,2018-01-30,6.53,7.7,4632.5,Earth Observation,1,1,1.0,0.3,0.2,0.6,0.6,0.1,0.1,0.365,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,47.6
SAT-0064,2014-08-25,5.03,11.14,1133.8,Science,1,1,1.0,0.3,0.2,0.3,0.4,0.1,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,44.0
SAT-0065,2023-11-04,9.84,1.94,4240.1,Technology Demo,1,3,0.197,0.3,0.2,0.6,0.4,0.7,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,31.3
SAT-0066,2015-06-02,4.68,10.37,2480.1,Earth Observation,1,3,1.0,0.3,0.2,0.3,0.6,0.7,0.1,0.305,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,54.2
SAT-0067,2011-09-26,11.36,14.05,1981.5,Technology Demo,3,1,1.0,0.3,0.8,0.3,0.4,0.1,0.1,0.515,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.6
SAT-0068,2009-08-01,12.71,16.2,148.9,Navigation,3,3,1.0,0.5,0.8,0.7,0.4,0.7,0.1,0.645,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,67.8
SAT-0069,2015-10-03,9.14,10.03,2326.5,Technology Demo,1,3,1.0,0.3,0.2,0.3,0.4,0.7,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.0
SAT-0070,2009-11-13,11.42,15.92,1799.9,Earth Observation,3,2,1.0,0.3,0.8,0.3,0.6,0.4,0.1,0.545,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,59.3
SAT-0071,2023-11-27,7.51,1.88,1176.0,Technology Demo,3,3,0.25,0.3,0.8,0.3,0.4,0.7,0.1,0.515,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,40.1
SAT-0072,2014-12-06,8.59,10.85,571.9,Navigation,2,3,1.0,0.3,0.5,0.3,0.4,0.7,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,57.8
SAT-0073,2025-01-14,3.37,0.75,296.6,Technology Demo,1,1,0.222,0.5,0.2,0.7,0.4,0.1,0.8,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,36.4
SAT-0074,2015-05-05,4.52,10.44,1220.4,Earth Observation,1,2,1.0,0.3,0.2,0.3,0.6,0.4,0.1,0.305,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,49.7
SAT-0075,2024-01-29,10.47,1.71,931.6,Communications,3,3,0.163,0.3,0.8,0.3,0.8,0.7,0.1,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,39.9
SAT-0076,2013-01-13,9.49,12.75,267.1,Earth Observation,3,1,1.0,0.5,0.8,0.7,0.6,0.1,0.1,0.675,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,60.0
SAT-0077,2019-04-29,9.2,6.46,2451.7,Communications,1,3,0.702,0.3,0.2,0.3,0.8,0.7,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,46.5
SAT-0078,2024-03-19,8.27,1.57,1041.7,Communications,1,1,0.19,0.3,0.2,0.3,0.8,0.1,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,22.1
SAT-0079,2011-11-12,13.03,13.92,481.4,Communications,2,1,1.0,0.5,0.5,0.7,0.8,0.1,0.1,0.585,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,56.4
SAT-0080,2020-10-11,4.88,5.0,89.1,Science,1,2,1.0,0.7,0.2,0.7,0.4,0.4,0.1,0.455,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,55.7
SAT-0081,2020-03-09,10.92,5.6,1929.2,Technology Demo,1,3,0.513,0.3,0.2,0.3,0.4,0.7,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,38.4
SAT-0082,2013-07-20,9.65,12.23,4344.7,Earth Observation,3,3,1.0,0.3,0.8,0.6,0.6,0.7,0.1,0.605,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,66.2
SAT-0083,2010-08-17,7.27,15.16,126.1,Science,2,1,1.0,0.5,0.5,0.7,0.4,0.1,0.1,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,54.0
SAT-0084,2024-12-20,3.55,0.81,60.7,Technology Demo,2,1,0.229,0.7,0.5,0.7,0.4,0.1,0.8,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,43.4
SAT-0085,2023-10-30,8.69,1.96,1907.3,Communications,1,3,0.225,0.3,0.2,0.3,0.8,0.7,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,32.2
SAT-0086,2017-02-08,5.08,8.68,238.3,Technology Demo,2,2,1.0,0.5,0.5,0.7,0.4,0.4,0.1,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.5
SAT-0087,2024-11-17,10.62,0.91,309.1,Technology Demo,2,3,0.085,0.5,0.5,0.7,0.4,0.7,0.8,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,46.1
SAT-0088,2008-08-27,9.04,17.13,314.1,Communications,3,3,1.0,0.5,0.8,0.7,0.8,0.7,0.1,0.705,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,70.2
SAT-0089,2012-12-08,3.85,12.85,825.9,Communications,1,2,1.0,0.3,0.2,0.3,0.8,0.4,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,50.9
SAT-0090,2014-04-11,14.28,11.51,294.1,Navigation,1,1,0.806,0.5,0.2,0.7,0.4,0.1,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,43.4
SAT-0091,2014-11-15,8.5,10.91,322.7,Earth Observation,1,3,1.0,0.5,0.2,0.7,0.6,0.7,0.1,0.435,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,59.4
SAT-0092,2007-09-05,14.53,18.11,3465.3,Technology Demo,1,2,1.0,0.3,0.2,0.6,0.4,0.4,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,50.9
SAT-0093,2025-06-02,4.21,0.36,37.5,Earth Observation,2,2,0.087,0.7,0.5,0.7,0.6,0.4,0.8,0.605,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,44.8
SAT-0094,2019-05-28,3.85,6.38,342.5,Earth Observation,1,2,1.0,0.5,0.2,0.7,0.6,0.4,0.1,0.435,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,54.9
SAT-0095,2020-02-24,12.77,5.64,546.5,Science,1,1,0.441,0.3,0.2,0.3,0.4,0.1,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,27.2
SAT-0096,2008-03-27,10.55,17.55,349.3,Science,1,1,1.0,0.5,0.2,0.7,0.4,0.1,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,49.2
SAT-0097,2022-03-27,6.38,3.55,2107.0,Earth Observation,1,2,0.556,0.3,0.2,0.3,0.6,0.4,0.1,0.305,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,36.4
SAT-0098,2017-07-13,14.89,8.25,2113.7,Technology Demo,2,1,0.554,0.3,0.5,0.3,0.4,0.1,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,35.4
SAT-0099,2007-03-03,7.09,18.62,388.9,Technology Demo,1,1,1.0,0.5,0.2,0.7,0.4,0.1,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,49.2
SAT-0100,2010-09-11,12.01,15.09,1358.0,Technology Demo,1,2,1.0,0.3,0.2,0.3,0.4,0.4,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,48.5
SAT-0101,2009-04-03,9.06,16.53,451.6,Navigation,2,2,1.0,0.5,0.5,0.7,0.4,0.4,0.1,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.5
SAT-0102,2025-07-26,7.67,0.22,448.1,Technology Demo,3,3,0.028,0.5,0.8,0.7,0.4,0.7,0.8,0.645,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,49.1
SAT-0103,2006-10-13,6.83,19.0,2728.2,Science,3,3,1.0,0.3,0.8,0.6,0.4,0.7,0.1,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,65.0
SAT-0104,2016-10-25,10.58,8.97,3933.6,Technology Demo,1,1,0.848,0.3,0.2,0.6,0.4,0.1,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,41.8
SAT-0105,2010-09-26,11.07,15.05,166.3,Navigation,1,1,1.0,0.5,0.2,0.7,0.4,0.1,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,49.2
SAT-0106,2015-11-24,4.09,9.89,2079.2,Science,3,3,1.0,0.3,0.8,0.3,0.4,0.7,0.1,0.515,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,62.6
SAT-0107,2008-01-12,8.3,17.75,276.1,Communications,3,2,1.0,0.5,0.8,0.7,0.8,0.4,0.1,0.705,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,65.7
SAT-0108,2010-07-22,4.72,15.23,61.2,Communications,1,3,1.0,0.7,0.2,0.7,0.8,0.7,0.1,0.515,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,62.6
SAT-0109,2011-10-07,4.01,14.02,702.2,Technology Demo,3,3,1.0,0.3,0.8,0.3,0.4,0.7,0.1,0.515,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,62.6
SAT-0110,2024-02-27,11.47,1.63,411.5,Earth Observation,1,3,0.142,0.5,0.2,0.7,0.6,0.7,0.1,0.435,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,33.7
SAT-0111,2018-05-16,7.49,7.41,493.4,Communications,1,1,0.99,0.5,0.2,0.7,0.8,0.1,0.1,0.465,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,51.3
SAT-0112,2010-09-19,14.83,15.07,2394.5,Science,1,3,1.0,0.3,0.2,0.3,0.4,0.7,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.0
SAT-0113,2014-08-13,12.33,11.17,44.5,Earth Observation,2,1,0.906,0.7,0.5,0.7,0.6,0.1,0.1,0.605,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,54.4
SAT-0114,2015-12-07,4.33,9.85,453.5,Science,1,3,1.0,0.5,0.2,0.7,0.4,0.7,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.2
SAT-0115,2023-05-30,3.68,2.38,235.9,Science,1,3,0.647,0.5,0.2,0.7,0.4,0.7,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,47.6
SAT-0116,2014-02-12,11.95,11.67,325.7,Communications,2,3,0.976,0.5,0.5,0.7,0.8,0.7,0.1,0.585,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,64.7
SAT-0117,2008-05-30,6.43,17.37,3437.2,Science,3,3,1.0,0.3,0.8,0.6,0.4,0.7,0.1,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,65.0
SAT-0118,2006-05-22,3.15,19.4,481.7,Navigation,2,1,1.0,0.5,0.5,0.7,0.4,0.1,0.1,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,54.0
SAT-0119,2005-12-04,9.33,19.86,445.9,Navigation,1,2,1.0,0.5,0.2,0.7,0.4,0.4,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.7
SAT-0120,2015-04-28,14.63,10.46,278.3,Technology Demo,1,3,0.715,0.5,0.2,0.7,0.4,0.7,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,49.7
SAT-0121,2013-03-26,8.45,12.55,1891.5,Navigation,2,2,1.0,0.3,0.5,0.3,0.4,0.4,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.3
SAT-0122,2020-03-01,3.55,5.62,2302.3,Communications,1,2,1.0,0.3,0.2,0.3,0.8,0.4,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,50.9
SAT-0123,2013-05-19,8.47,12.4,4725.7,Science,3,1,1.0,0.3,0.8,0.6,0.4,0.1,0.1,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,56.0
SAT-0124,2018-09-19,8.56,7.07,96.5,Communications,3,1,0.825,0.7,0.8,0.7,0.8,0.1,0.1,0.755,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.0
SAT-0125,2006-01-22,14.69,19.72,655.5,Science,2,1,1.0,0.3,0.5,0.3,0.4,0.1,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,48.8
SAT-0126,2009-07-05,6.71,16.28,1572.2,Navigation,1,1,1.0,0.3,0.2,0.3,0.4,0.1,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,44.0
SAT-0127,2009-05-02,13.93,16.45,825.2,Navigation,2,1,1.0,0.3,0.5,0.3,0.4,0.1,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,48.8
SAT-0128,2017-06-02,10.36,8.36,4314.3,Technology Demo,3,3,0.807,0.3,0.8,0.6,0.4,0.7,0.1,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,59.2
SAT-0129,2025-04-04,3.54,0.53,4665.2,Navigation,3,3,0.149,0.3,0.8,0.6,0.4,0.7,0.8,0.575,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,50.0
SAT-0130,2022-10-11,14.85,3.01,405.8,Science,1,3,0.203,0.5,0.2,0.7,0.4,0.7,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,34.3
SAT-0131,2008-12-10,14.64,16.84,1261.8,Science,2,3,1.0,0.3,0.5,0.3,0.4,0.7,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,57.8
